GeneID	BN4_540	BN4_541	BN4_770	BN4_771	BN4_772	BN4_773
Gene1	351	1919	477	335	931	358
Gene2	272	2905	391	619	195	172
Gene3	4743	9660	5394	9720	2254	2890
Gene4	858	660	790	802	886	138
Gene5	0	0	0	0	28	14
Gene6	8	8	0	0	21	62
Gene7	45	92	36	37	44	0
Gene8	31	20	0	0	18	0
Gene9	1036	892	134	438	1973	0
Gene10	41	251	104	62	7	45
Gene11	174	749	456	323	75	0
Gene12	46	21	0	0	21	0
Gene13	138	294	25	27	118	134
Gene14	30	17	15	0	0	0
Gene15	25	0	0	0	53	0
Gene16	20	31	3	3	7	22
Gene17	19	74	31	69	10	4
Gene18	28	12	1	3	8	2
Gene19	104	109	99	41	53	0
Gene20	58	74	27	0	0	0
Gene21	18	0	0	0	621	3177
Gene22	75	37	0	45	0	0
Gene23	64	4	2	1	84	0
Gene24	22	63	13	13	74	12
Gene25	31	26	23	16	19	10
Gene26	14232	22982	9229	12536	6752	12397
Gene27	1370	0	0	0	0	0
Gene28	15	17	12	12	6	7
Gene29	7	54	71	116	2	7
Gene30	1879	386	28	299	378	1531
Gene31	34	14	0	0	0	0
Gene32	17	38	7	15	6	12
Gene33	116	223	195	333	84	100
Gene34	93	22	28	27	30	37
Gene35	325	0	0	0	0	0
Gene36	12	173	309	43	457	66
Gene37	4836	6881	9047	4737	1962	207
Gene38	94	251	0	0	231	0
Gene39	246	80	0	158	167	243
Gene40	1351	248	772	210	63	221
Gene41	52	18	13	20	49	0
Gene42	605	785	2230	932	272	0
Gene43	31	48	82	21	0	0
Gene44	8	31	19	80	1	3
Gene45	12	18	8	2	4	11
Gene46	13	14	6	4	9	0
Gene47	122	157	35	0	131	0
Gene48	1090	1541	805	957	711	578
Gene49	48	47	34	9	0	0
Gene50	58	0	0	0	0	0
Gene51	448	7	0	3	81	10
Gene52	48	0	0	0	64	0
Gene53	9	102	32	16	10	24
Gene54	9	33	3	6	2	10
Gene55	25	50	191	149	0	0
Gene56	80	141	148	195	28	237
Gene57	48	14	0	0	24	42
Gene58	12	0	14	0	0	0
Gene59	2505	2808	1401	1319	1764	2495
Gene60	21	91	6	15	6	6
Gene61	5	15	0	1	2	1
Gene62	31	147	68	25	51	21
Gene63	182	261	44	61	24	0
Gene64	103	104	346	711	72	0
Gene65	23	67	0	12	0	0
Gene66	514	0	0	0	0	0
Gene67	22	39	15	8	10	17
Gene68	39	216	0	14	0	0
Gene69	36	9	2	1	4	0
Gene70	1701	3358	797	877	1083	881
Gene71	20	7	5	4	2	2
Gene72	256	218	42	65	303	0
Gene73	11	32	0	0	94	0
